name,team,primary_position,line,appearances,player_id,pca_x,pca_y,umap_x,umap_y
Sardar Azmoun,Iran,Center Forward,FWD,5,5224,1.0507025577823585,-3.9659518090657615,-9.953149,4.2586727
Ramin Rezaeian,Iran,Right Back,DEF,5,5235,-0.21761010231359607,-1.851174508870248,-6.3490047,2.8360603
Nathan Aké,Netherlands,Left Center Back,DEF,5,3306,-0.1224591028036466,2.942552053578923,-8.503587,-3.1434386
Daley Blind,Netherlands,Left Wing Back,DEF,5,3311,-0.131318243313352,1.1138400886636899,-4.1185083,-1.875087
Virgil van Dijk,Netherlands,Center Back,DEF,5,3669,-0.5639148587362643,2.969920460948401,-8.708922,-2.3442874
Frenkie de Jong,Netherlands,Left Defensive Midfield,MID,5,8118,2.213330020921997,2.1496023672470126,-9.876274,-0.8603506
Denzel Dumfries,Netherlands,Right Wing Back,DEF,5,8125,0.3999858926846833,-3.539615750597718,-9.837714,4.361338
Andries Noppert,Netherlands,Goalkeeper,GK,5,8326,-5.464575774209942,1.7580243657081083,9.718374,7.8929653
Cody Gakpo,Netherlands,Right Center Forward,FWD,5,20750,1.5267028322210092,-4.208084882143363,-10.2455635,3.7229822
Sofiane Boufal,Morocco,Left Wing,FWD,7,3625,0.7814215415256437,-2.870911015589877,-9.826156,3.7559748
Romain Saïss,Morocco,Left Center Back,DEF,8,5219,-0.6947169261773424,1.231404216682339,-7.1214557,-1.8425616
Sofyan Amrabat,Morocco,Center Defensive Midfield,MID,7,5234,0.42160038168411695,0.8806165639192581,-8.310527,0.42524418
Hakim Ziyech,Morocco,Right Wing,FWD,10,5237,1.7822454263858838,-1.3643745148995194,-9.401244,2.4512305
Achraf Hakimi,Morocco,Right Back,DEF,10,5245,0.48310573824275743,0.3672686337985285,-5.9078407,2.3880026
Youssef En-Nesyri,Morocco,Center Forward,FWD,7,6301,-2.642808810228379,-2.6306220287876307,-9.411544,3.6239388
Yassine Bounou,Morocco,Goalkeeper,GK,6,6785,-4.960661956280623,0.2990869430058631,9.814947,7.414129
Noussair Mazraoui,Morocco,Left Back,DEF,5,15890,-0.653796573889518,-1.3561956377554845,-4.094033,-0.84973764
Azzedine Ounahi,Morocco,Right Center Midfield,MID,6,46258,1.3731269479957176,-0.3574508292240017,-8.6043625,1.1249988
Dejan Lovren,Croatia,Right Center Back,DEF,12,3471,0.18900952495661338,2.3685114880874214,-8.800245,-2.2238681
Mateo Kovačić,Croatia,Left Center Midfield,MID,8,5456,1.8450055883611693,2.0259922657071923,-10.385412,-0.7060189
Andrej Kramarić,Croatia,Center Forward,FWD,10,5460,1.6443755461424017,-2.0470833864639153,-10.227139,2.9664845
Luka Modrić,Croatia,Right Center Midfield,MID,14,5463,2.6356522339473973,1.196142959499753,-10.362715,-0.32679987
Marcelo Brozović,Croatia,Center Defensive Midfield,MID,10,5469,2.3423273309414685,2.393119555002088,-10.246826,-0.92185205
Ivan Perišić,Croatia,Left Wing,FWD,14,5474,1.8633766846011892,-2.7173427208372893,-10.0369625,3.3601768
Borna Sosa,Croatia,Left Back,DEF,5,12625,0.9682554831902361,0.2131542098048433,-4.1599174,-1.6058333
Dominik Livaković,Croatia,Goalkeeper,GK,7,16531,-6.397164847032072,0.3949607818116784,10.089608,7.6149335
