match_id,team,competition,date,coach,cluster,umap_x,umap_y,landmark
69316,Barcelona,LaLiga,2012-02-04 00:00:00,Guardiola,1,12.017907,1.5678792,
69336,Barcelona,LaLiga,2012-02-11 00:00:00,Guardiola,1,10.5374,5.6662507,
69328,Barcelona,LaLiga,2012-02-19 00:00:00,Guardiola,1,10.274596,5.298252,
69337,Barcelona,LaLiga,2012-02-26 00:00:00,Guardiola,1,11.128774,0.8310751,
69322,Barcelona,LaLiga,2012-03-11 00:00:00,Guardiola,1,9.168287,1.2471539,
69326,Barcelona,LaLiga,2012-03-17 00:00:00,Guardiola,1,11.433627,1.7204891,
70225,Barcelona,LaLiga,2012-03-20 00:00:00,Guardiola,1,10.519599,1.5996563,
69325,Barcelona,LaLiga,2012-03-24 00:00:00,Guardiola,1,10.340566,2.114065,
69323,Barcelona,LaLiga,2012-03-31 00:00:00,Guardiola,1,12.064784,3.6940756,
70219,Barcelona,LaLiga,2012-04-07 00:00:00,Guardiola,1,8.475496,2.1806943,
69343,Barcelona,LaLiga,2012-04-10 00:00:00,Guardiola,1,10.479552,0.23960294,
70221,Barcelona,LaLiga,2012-04-14 00:00:00,Guardiola,1,8.771041,1.4622976,
69324,Barcelona,LaLiga,2012-04-21 00:00:00,Guardiola,1,10.599562,1.0600699,
70224,Barcelona,LaLiga,2012-04-29 00:00:00,Guardiola,0,8.28714,3.3370929,
69340,Barcelona,LaLiga,2012-05-02 00:00:00,Guardiola,1,12.469985,2.3082848,
69320,Barcelona,LaLiga,2012-05-05 00:00:00,Guardiola,1,11.665466,1.7461348,
69319,Barcelona,LaLiga,2012-05-12 00:00:00,Guardiola,1,9.770287,1.1068506,
70259,Barcelona,LaLiga,2012-08-19 00:00:00,Vilanova,1,11.510077,2.3844097,
70262,Barcelona,LaLiga,2012-08-26 00:00:00,Vilanova,1,11.04006,2.812029,
70286,Barcelona,LaLiga,2012-09-02 00:00:00,Vilanova,1,9.546009,1.2805743,
70292,Barcelona,LaLiga,2012-09-15 00:00:00,Vilanova,1,9.416631,1.304455,
70270,Barcelona,LaLiga,2012-09-22 00:00:00,Vilanova,1,11.348801,3.7088852,
70275,Barcelona,LaLiga,2012-09-29 00:00:00,Vilanova,1,9.484908,4.8452907,
70300,Barcelona,LaLiga,2012-10-07 00:00:00,Vilanova,0,8.513021,4.933156,
